burbujeo;aleatorio;14;0.17 seg
burbujeo;aleatorio;12;0.9560000000000001 seg
burbujeo;aleatorio;12;0.962 seg
burbujeo;aleatorio;12;0.64 seg
burbujeo;aleatorio;12;0.935 seg
burbujeo;aleatorio;12;3.71 seg
burbujeo;aleatorio;12;3.696 seg
burbujeo;aleatorio;12;3.346 seg
burbujeo;aleatorio;12;3.336 seg
burbujeo;aleatorio;31;68.284 seg
burbujeo;aleatorio;31;55.173 seg
burbujeo;aleatorio;31;65.669 seg
burbujeo;aleatorio;17;7.551 seg
insercion;aleatorio;17;2.453 seg
seleccion;aleatorio;17;4.577 seg
quicksort;aleatorio;17;0.371 seg
burbujeo;aleatorio;17;7.519 seg
insercion;aleatorio;17;1.98 seg
seleccion;aleatorio;17;4.5600000000000005 seg
quicksort;aleatorio;17;0.371 seg
burbujeo;aleatorio;17;13.040000000000001 seg
insercion;aleatorio;17;5.075 seg
seleccion;aleatorio;17;12.314 seg
quicksort;aleatorio;17;0.905 seg
burbujeo;aleatorio;111;171.018 seg
insercion;aleatorio;111;46.901 seg
seleccion;aleatorio;111;89.385 seg
quicksort;aleatorio;111;1.086 seg
burbujeo;aleatorio;28;5.22 seg
burbujeo;aleatorio;9;79.037 seg
burbujeo;aleatorio;79;97.391 seg
burbujeo;aleatorio;63;1.59 seg
burbujeo;aleatorio;22;2.767 seg
insercion;aleatorio;22;1.746 seg
seleccion;aleatorio;22;2.938 seg
quicksort;aleatorio;22;0.17500000000000002 seg
